eventType,guests,location,decor,date,final_budget
Corporate,442,Mumbai,Intermediate,2025-02-06,880076
Private,900,Mumbai,Premium,2025-05-16,1395190
Private,616,Delhi,Simple,2026-01-18,952973
Corporate,929,Mumbai,Premium,2024-11-06,1490088
Wedding,504,Mumbai,Premium,2025-02-27,1007617
Destination,997,Pune,Premium,2024-11-15,1580683
Private,578,Pune,Intermediate,2024-06-07,947063
Wedding,166,Pune,Premium,2025-11-13,602559
Destination,288,Delhi,Intermediate,2026-10-09,752113
Private,531,Pune,Intermediate,2025-10-07,852798
Private,651,Mumbai,Simple,2025-07-23,995688
Destination,603,Mumbai,Intermediate,2025-09-13,1116601
Destination,389,Delhi,Premium,2026-06-09,891836
Destination,659,Pune,Premium,2025-01-04,1205793
Destination,371,Mumbai,Simple,2024-05-09,783717
Private,730,Delhi,Simple,2026-08-22,1086066
Private,666,Pune,Premium,2024-07-08,1069996
Destination,425,Delhi,Simple,2026-04-12,852737
Destination,381,Delhi,Intermediate,2024-07-25,838329
Private,604,Pune,Simple,2024-04-21,923617
Corporate,244,Delhi,Premium,2026-01-23,678993
Corporate,439,Delhi,Premium,2024-03-02,880388
Private,592,Delhi,Premium,2024-10-01,1031139
Corporate,929,Mumbai,Premium,2025-07-12,1452729
Destination,277,Pune,Simple,2026-02-20,648785
Private,119,Mumbai,Intermediate,2026-01-20,483441
Private,179,Delhi,Premium,2026-03-12,535701
Wedding,295,Pune,Simple,2026-11-19,650568
Corporate,266,Mumbai,Premium,2026-05-03,692647
Private,449,Pune,Intermediate,2024-12-26,818278
Destination,347,Pune,Intermediate,2024-05-03,779259
Wedding,703,Delhi,Intermediate,2024-07-03,1154607
Private,817,Pune,Simple,2024-09-09,1165915
Destination,300,Mumbai,Premium,2025-02-26,816092
Wedding,646,Mumbai,Intermediate,2024-12-08,1150116
Corporate,194,Mumbai,Simple,2024-12-04,568263
Destination,884,Delhi,Simple,2026-04-02,1360359
Corporate,111,Pune,Simple,2026-04-20,369019
Wedding,813,Delhi,Simple,2025-03-14,1251888
Wedding,221,Delhi,Premium,2026-12-25,708384
Corporate,528,Delhi,Intermediate,2025-08-05,920066
Wedding,967,Mumbai,Premium,2025-03-03,1537876
Corporate,772,Mumbai,Intermediate,2025-06-15,1229505
Destination,123,Pune,Simple,2024-05-07,463510
Destination,917,Pune,Premium,2024-08-24,1457434
Destination,918,Delhi,Intermediate,2026-04-17,1429046
Wedding,634,Pune,Intermediate,2025-07-12,1052208
Corporate,805,Delhi,Simple,2026-01-26,1228868
Private,644,Delhi,Simple,2024-05-15,975924
Destination,504,Delhi,Intermediate,2025-11-16,985100
Private,698,Mumbai,Simple,2024-08-15,1061678
Corporate,138,Mumbai,Intermediate,2024-04-11,529370
Wedding,331,Pune,Intermediate,2026-08-26,718559
Wedding,911,Delhi,Intermediate,2024-04-01,1400294
Wedding,528,Mumbai,Premium,2024-01-11,1044654
Destination,323,Pune,Intermediate,2026-07-23,739117
Destination,788,Delhi,Simple,2024-12-27,1272798
Destination,290,Mumbai,Simple,2025-04-25,723448
Corporate,796,Delhi,Premium,2025-07-25,1285318
Private,525,Mumbai,Intermediate,2026-12-06,952648
Wedding,247,Delhi,Simple,2025-10-25,596789
Corporate,202,Pune,Premium,2025-11-19,613570
Private,520,Delhi,Simple,2024-04-03,834034
Corporate,556,Mumbai,Premium,2025-06-07,1038315
Wedding,814,Mumbai,Intermediate,2026-06-06,1296869
Private,93,Pune,Simple,2025-08-24,331229
Corporate,746,Delhi,Intermediate,2026-09-12,1168609
Wedding,876,Mumbai,Simple,2025-12-15,1330405
Corporate,174,Pune,Premium,2025-11-19,589687
Destination,977,Pune,Simple,2025-01-14,1457933
Wedding,867,Pune,Simple,2024-06-14,1275157
Destination,752,Delhi,Intermediate,2026-12-08,1277021
Destination,806,Pune,Intermediate,2024-02-08,1296074
Wedding,831,Delhi,Intermediate,2025-06-16,1294501
Destination,460,Pune,Premium,2026-09-07,934734
Wedding,97,Delhi,Premium,2026-01-15,557950
Private,770,Delhi,Premium,2025-10-12,1214432
Private,123,Delhi,Intermediate,2026-11-19,466066
Wedding,213,Pune,Intermediate,2026-10-23,573206
Wedding,392,Delhi,Simple,2025-07-03,746918
Wedding,156,Pune,Premium,2024-08-16,567844
Private,889,Delhi,Intermediate,2025-06-09,1280697
Wedding,999,Pune,Simple,2026-07-20,1391503
Destination,84,Delhi,Premium,2026-05-15,558340
Destination,162,Mumbai,Premium,2024-10-15,656835
Wedding,286,Pune,Intermediate,2024-10-18,668528
Destination,196,Delhi,Simple,2024-11-16,596615
Corporate,106,Mumbai,Premium,2025-09-06,522316
Destination,330,Pune,Intermediate,2025-10-14,752865
Private,725,Mumbai,Simple,2026-08-19,1076377
Corporate,894,Delhi,Premium,2025-04-11,1395473
Wedding,200,Mumbai,Intermediate,2025-04-07,620010
Wedding,390,Delhi,Premium,2026-05-20,832829
Wedding,658,Pune,Intermediate,2026-05-03,1055128
Wedding,843,Pune,Simple,2026-05-11,1216442
Private,754,Delhi,Premium,2026-08-12,1204272
Wedding,259,Pune,Premium,2026-09-24,687943
Corporate,107,Delhi,Intermediate,2025-04-12,465850
Private,745,Mumbai,Premium,2026-05-04,1232829
Wedding,962,Delhi,Simple,2025-03-13,1389642
Wedding,963,Pune,Intermediate,2026-03-23,1421974
Wedding,660,Delhi,Premium,2025-06-27,1185300
Wedding,567,Mumbai,Intermediate,2025-07-09,1006997
Private,665,Delhi,Premium,2025-04-20,1083470
Destination,949,Pune,Intermediate,2026-09-21,1449262
Destination,872,Mumbai,Simple,2025-11-20,1402048
Corporate,464,Mumbai,Premium,2025-07-01,919753
Corporate,352,Delhi,Premium,2024-01-10,797046
Destination,698,Mumbai,Intermediate,2026-04-01,1219327
Corporate,865,Mumbai,Intermediate,2025-03-12,1306475
Private,776,Mumbai,Intermediate,2025-05-16,1215962
Destination,239,Mumbai,Premium,2025-05-08,745469
Destination,872,Mumbai,Simple,2026-06-11,1365257
Corporate,487,Delhi,Intermediate,2026-03-21,898654
Destination,191,Mumbai,Premium,2024-07-13,705930
Corporate,267,Pune,Intermediate,2024-11-07,625405
Corporate,484,Mumbai,Intermediate,2026-11-22,941948
Corporate,235,Pune,Premium,2024-02-27,634715
Private,346,Delhi,Intermediate,2026-09-16,676521
Wedding,106,Mumbai,Premium,2026-04-20,565578
Wedding,572,Pune,Premium,2024-09-10,1036361
Private,330,Pune,Intermediate,2024-03-05,650229
Corporate,300,Delhi,Premium,2025-08-31,737293
Private,992,Pune,Premium,2024-01-24,1446402
Corporate,520,Delhi,Premium,2026-06-19,977643
Wedding,723,Mumbai,Simple,2024-08-06,1165952
Destination,222,Delhi,Simple,2026-01-02,648484
Corporate,206,Delhi,Premium,2026-03-19,593854
Wedding,822,Mumbai,Simple,2024-09-12,1243631
Corporate,167,Mumbai,Intermediate,2024-04-21,521829
Private,469,Pune,Simple,2026-05-13,769775
Wedding,279,Delhi,Premium,2024-01-27,752097
Corporate,315,Delhi,Intermediate,2026-08-18,690973
Destination,830,Delhi,Intermediate,2024-10-04,1353619
Private,662,Mumbai,Premium,2024-08-01,1109782
Corporate,709,Delhi,Premium,2026-03-07,1170106
Wedding,786,Pune,Premium,2026-08-16,1251003
Private,918,Mumbai,Premium,2024-10-16,1428766
Corporate,610,Mumbai,Premium,2026-03-27,1087560
Wedding,717,Pune,Intermediate,2026-09-22,1119172
Destination,527,Pune,Simple,2025-07-23,936121
Wedding,209,Pune,Premium,2026-08-26,597150
Wedding,310,Mumbai,Intermediate,2026-09-20,721600
Destination,173,Pune,Premium,2024-10-17,610645
Private,778,Pune,Premium,2026-03-05,1195161
Wedding,968,Mumbai,Intermediate,2025-07-26,1470470
Destination,865,Delhi,Simple,2025-02-25,1358583
Destination,516,Delhi,Intermediate,2025-02-17,1016938
Wedding,204,Mumbai,Simple,2026-03-19,552020
Private,583,Pune,Premium,2025-07-01,963730
Corporate,803,Pune,Intermediate,2025-09-14,1189247
Destination,150,Mumbai,Premium,2025-08-09,641026
Corporate,421,Mumbai,Intermediate,2025-04-19,833410
Destination,774,Mumbai,Premium,2026-06-12,1351376
Private,683,Delhi,Premium,2026-03-22,1130151
Wedding,885,Delhi,Premium,2025-07-03,1391575
Wedding,466,Pune,Simple,2024-04-22,798604
Wedding,223,Mumbai,Simple,2024-02-03,626041
Destination,327,Delhi,Simple,2024-07-05,756658
Wedding,579,Pune,Premium,2024-09-03,1035186
Private,488,Mumbai,Simple,2025-10-25,835812
Private,103,Pune,Premium,2024-12-23,465669
Corporate,667,Mumbai,Premium,2024-01-14,1192822
Destination,497,Delhi,Intermediate,2025-09-04,939270
Destination,821,Delhi,Simple,2026-06-03,1286308
Private,392,Mumbai,Intermediate,2026-05-03,774767
Private,979,Pune,Premium,2025-03-20,1433637
Destination,710,Pune,Premium,2024-01-26,1238930
Wedding,144,Pune,Premium,2026-04-24,556425
Private,796,Pune,Simple,2025-06-06,1129780
Corporate,727,Pune,Premium,2024-02-03,1209532
Wedding,96,Pune,Premium,2025-03-24,491080
Corporate,86,Mumbai,Intermediate,2024-09-23,469188
Corporate,744,Mumbai,Simple,2024-04-06,1167467
Destination,482,Delhi,Premium,2025-12-08,1031247
Corporate,942,Pune,Intermediate,2026-04-03,1381695
Corporate,622,Pune,Premium,2025-04-25,1040806
Wedding,315,Delhi,Simple,2026-09-26,668769
Corporate,84,Mumbai,Intermediate,2026-06-01,437087
Corporate,658,Delhi,Simple,2026-04-18,1021064
Wedding,992,Delhi,Simple,2026-02-08,1462554
Corporate,237,Pune,Simple,2026-05-25,530698
Private,476,Mumbai,Intermediate,2026-05-11,879169
Private,986,Pune,Simple,2024-01-03,1343913
Private,625,Delhi,Intermediate,2024-08-13,990265
Corporate,963,Delhi,Premium,2026-09-14,1477821
Private,950,Delhi,Intermediate,2025-02-22,1412172
Wedding,628,Pune,Premium,2025-03-02,1080905
Private,976,Delhi,Simple,2026-05-04,1338964
Corporate,828,Mumbai,Simple,2025-02-23,1249895
Destination,985,Mumbai,Intermediate,2025-03-22,1556088
Wedding,780,Pune,Premium,2024-03-20,1276393
Private,927,Pune,Intermediate,2025-05-10,1336986
Corporate,662,Delhi,Intermediate,2024-09-21,1080492
Private,245,Delhi,Premium,2025-08-07,631971
Private,520,Delhi,Premium,2025-07-01,920912
Corporate,466,Mumbai,Intermediate,2025-01-10,916853
Private,96,Delhi,Simple,2024-07-26,390243
Private,424,Pune,Premium,2025-07-10,795562
Private,495,Pune,Intermediate,2025-02-24,843067
Wedding,691,Pune,Premium,2025-12-19,1197776
Corporate,332,Mumbai,Simple,2025-04-21,667091
Corporate,641,Mumbai,Simple,2026-07-15,1041667
Destination,159,Pune,Simple,2025-01-20,534269
Corporate,122,Pune,Simple,2024-02-02,424653
Destination,455,Pune,Simple,2024-08-11,842297
Wedding,201,Mumbai,Simple,2026-08-11,563275
Destination,532,Mumbai,Premium,2024-01-24,1086620
Corporate,230,Mumbai,Premium,2025-12-18,707195
Private,200,Mumbai,Simple,2025-02-22,548304
Corporate,438,Delhi,Intermediate,2026-11-26,865943
Wedding,520,Delhi,Premium,2024-10-12,997909
Private,833,Delhi,Simple,2026-12-19,1231423
Destination,868,Mumbai,Premium,2026-11-18,1483244
Wedding,111,Pune,Simple,2024-12-10,421285
Destination,599,Pune,Simple,2024-10-05,1021112
Wedding,90,Pune,Premium,2024-02-22,490924
Private,724,Delhi,Simple,2025-03-13,1088687
Destination,929,Mumbai,Intermediate,2026-09-03,1474608
Corporate,969,Delhi,Intermediate,2025-03-22,1437641
Corporate,956,Delhi,Intermediate,2024-11-23,1421722
Destination,524,Pune,Premium,2026-11-12,1035515
Destination,181,Mumbai,Premium,2024-05-26,691652
Wedding,637,Mumbai,Simple,2026-04-17,1087724
Private,123,Pune,Simple,2026-09-25,353900
Corporate,750,Mumbai,Simple,2024-10-16,1170300
Destination,872,Pune,Simple,2024-06-23,1287595
Private,177,Delhi,Premium,2024-10-20,552398
Wedding,920,Delhi,Intermediate,2024-08-12,1381108
Destination,689,Pune,Simple,2026-07-18,1131171
Destination,667,Pune,Premium,2025-11-03,1177057
Destination,814,Pune,Simple,2026-08-02,1237015
Corporate,413,Mumbai,Simple,2024-12-01,787056
Corporate,276,Delhi,Intermediate,2024-07-05,668200
Destination,180,Pune,Premium,2026-10-07,607215
Destination,734,Delhi,Premium,2024-05-10,1277989
Private,463,Pune,Intermediate,2024-03-18,787766
Wedding,92,Pune,Premium,2026-12-13,514144
Private,213,Pune,Simple,2026-10-03,484686
Corporate,612,Mumbai,Premium,2025-06-26,1112796
Private,353,Mumbai,Simple,2026-06-13,675949
Destination,449,Pune,Simple,2024-12-16,850072
Wedding,835,Delhi,Simple,2025-09-20,1279400
Corporate,851,Pune,Premium,2025-12-31,1312847
Wedding,475,Mumbai,Premium,2026-11-25,996878
Corporate,459,Delhi,Intermediate,2025-06-10,827992
Wedding,458,Mumbai,Simple,2025-09-11,877097
Wedding,659,Delhi,Intermediate,2024-03-16,1114122
Destination,486,Pune,Intermediate,2024-02-20,924888
Private,807,Mumbai,Premium,2024-03-11,1282474
Wedding,445,Mumbai,Premium,2024-03-21,924332
Wedding,814,Pune,Premium,2025-01-10,1340783
Private,233,Mumbai,Intermediate,2026-02-23,623004
Corporate,980,Pune,Premium,2025-09-30,1454276
Corporate,506,Delhi,Intermediate,2025-04-19,930973
Corporate,897,Pune,Intermediate,2026-01-23,1339304
Wedding,667,Pune,Premium,2026-01-16,1182183
Destination,195,Delhi,Simple,2025-07-10,554340
Corporate,535,Mumbai,Premium,2024-11-08,1061823
Private,217,Mumbai,Intermediate,2024-12-07,583101
Wedding,167,Mumbai,Intermediate,2025-07-10,563825
Corporate,156,Pune,Simple,2024-10-09,442427
Corporate,614,Mumbai,Simple,2026-08-27,1007123
Corporate,573,Mumbai,Premium,2026-01-18,1055775
Wedding,979,Mumbai,Simple,2024-07-01,1431641
Destination,454,Mumbai,Premium,2025-06-16,983104
Destination,92,Mumbai,Intermediate,2025-03-10,538428
Corporate,727,Pune,Premium,2025-08-23,1164239
Wedding,936,Pune,Simple,2026-03-18,1342653
Wedding,403,Pune,Premium,2024-07-15,843255
Destination,347,Mumbai,Premium,2025-12-12,896855
Private,88,Delhi,Intermediate,2026-09-09,397220
Corporate,815,Mumbai,Intermediate,2025-03-12,1270821
Corporate,889,Delhi,Premium,2024-08-11,1369199
Corporate,180,Mumbai,Simple,2026-04-10,523333
Corporate,556,Pune,Intermediate,2024-02-13,944754
Wedding,666,Mumbai,Intermediate,2025-05-02,1148169
Private,681,Mumbai,Premium,2024-06-02,1145569
Corporate,422,Mumbai,Simple,2026-12-16,826479
Wedding,994,Delhi,Simple,2026-08-10,1428195
Private,719,Pune,Simple,2025-12-08,1074157
Private,116,Pune,Intermediate,2026-03-09,391933
Destination,249,Pune,Simple,2025-02-24,624971
Destination,911,Mumbai,Simple,2025-10-22,1407580
Destination,477,Pune,Simple,2024-06-08,858307
Wedding,181,Pune,Simple,2024-02-17,538051
Private,866,Delhi,Intermediate,2024-04-04,1253051
Destination,467,Delhi,Simple,2026-11-13,900260
Wedding,545,Pune,Premium,2024-10-11,994832
Destination,666,Pune,Intermediate,2025-04-05,1138991
Private,901,Mumbai,Premium,2026-03-19,1372775
Corporate,466,Mumbai,Intermediate,2025-02-19,897024
Private,798,Delhi,Intermediate,2024-02-07,1229628
Wedding,168,Pune,Simple,2026-07-02,459636
Corporate,92,Mumbai,Premium,2025-12-01,541883
Destination,519,Mumbai,Intermediate,2025-08-18,1002473
Wedding,376,Delhi,Premium,2026-01-21,852655
Corporate,694,Delhi,Simple,2026-06-01,1074056
Destination,204,Mumbai,Premium,2024-02-26,716429
Corporate,886,Mumbai,Simple,2026-01-07,1311271
Corporate,447,Pune,Simple,2025-06-02,771312
Destination,293,Pune,Intermediate,2026-09-19,712507
Private,429,Mumbai,Intermediate,2026-05-14,808781
Destination,630,Mumbai,Simple,2026-03-05,1096394
Private,525,Pune,Intermediate,2024-06-18,866185
Destination,427,Mumbai,Intermediate,2024-06-07,935811
Corporate,143,Mumbai,Premium,2025-10-31,614243
Destination,384,Delhi,Premium,2024-07-25,862005
Wedding,312,Delhi,Premium,2024-08-05,747295
Private,439,Mumbai,Premium,2026-01-23,884848
Corporate,752,Pune,Simple,2024-01-01,1141805
Corporate,509,Delhi,Intermediate,2026-05-16,899205
Wedding,617,Pune,Premium,2026-10-17,1073979
Corporate,323,Pune,Intermediate,2024-04-09,649814
Corporate,167,Mumbai,Intermediate,2024-08-12,522522
Corporate,168,Mumbai,Intermediate,2025-12-06,594284
Corporate,594,Pune,Intermediate,2024-02-06,1008635
Corporate,718,Mumbai,Simple,2025-03-08,1122467
Destination,167,Pune,Premium,2025-08-09,633888
Private,95,Mumbai,Intermediate,2025-02-15,445840
Private,504,Mumbai,Intermediate,2024-02-13,931973
Destination,149,Mumbai,Simple,2026-04-02,551251
Wedding,878,Delhi,Intermediate,2026-08-02,1342704
Private,751,Delhi,Intermediate,2024-10-02,1143290
Private,799,Mumbai,Intermediate,2025-09-03,1214515
Corporate,551,Delhi,Premium,2026-01-25,1041798
Corporate,770,Delhi,Intermediate,2025-05-09,1199713
Private,481,Mumbai,Simple,2026-08-03,837484
Destination,271,Delhi,Premium,2026-11-06,793224
Wedding,823,Mumbai,Premium,2024-10-17,1357178
Private,345,Delhi,Premium,2025-10-01,742595
Wedding,117,Pune,Simple,2026-12-18,471085
Wedding,666,Delhi,Simple,2026-03-01,1079245
Private,512,Delhi,Intermediate,2024-09-25,893400
Wedding,287,Pune,Premium,2026-05-09,725715
Private,223,Pune,Intermediate,2025-04-15,516193
Private,230,Delhi,Intermediate,2025-07-03,557165
Corporate,732,Mumbai,Simple,2025-09-06,1135281
Corporate,551,Pune,Premium,2024-10-18,989253
Private,163,Delhi,Simple,2026-07-08,449849
Private,163,Pune,Premium,2024-01-09,519757
Wedding,482,Pune,Premium,2024-08-21,916205
Destination,355,Mumbai,Intermediate,2024-03-21,835202
Wedding,873,Pune,Intermediate,2024-10-08,1317528
Private,927,Delhi,Premium,2026-02-21,1445482
Corporate,332,Delhi,Intermediate,2024-12-13,757867
Corporate,947,Pune,Intermediate,2025-12-15,1401239
Corporate,252,Mumbai,Premium,2024-09-17,688018
Wedding,411,Mumbai,Intermediate,2026-07-20,866111
Wedding,575,Pune,Premium,2026-04-03,1052274
Wedding,999,Mumbai,Premium,2024-10-08,1543981
Destination,530,Delhi,Premium,2024-01-04,1082421
Corporate,373,Pune,Simple,2026-07-24,692981
Corporate,312,Pune,Simple,2026-11-04,631370
Corporate,292,Mumbai,Premium,2024-08-15,734609
Private,901,Pune,Simple,2026-03-14,1230274
Corporate,917,Mumbai,Intermediate,2025-06-02,1399614
Corporate,211,Pune,Premium,2024-09-25,605913
Destination,635,Delhi,Premium,2026-01-27,1168738
Corporate,284,Mumbai,Simple,2026-05-03,629681
Destination,492,Pune,Intermediate,2025-03-14,937597
Private,669,Pune,Intermediate,2024-11-10,1041723
Wedding,340,Pune,Premium,2026-07-19,763799
Private,91,Mumbai,Intermediate,2024-09-03,429303
Wedding,498,Mumbai,Intermediate,2026-11-15,968326
Wedding,886,Mumbai,Intermediate,2024-12-09,1410932
Private,669,Delhi,Intermediate,2024-02-29,1070907
Private,536,Mumbai,Premium,2026-02-12,996992
Wedding,679,Pune,Intermediate,2024-10-26,1119138
Destination,710,Delhi,Premium,2024-09-11,1231610
Destination,310,Pune,Premium,2025-06-12,782366
Corporate,640,Pune,Premium,2025-05-21,1065411
Corporate,966,Mumbai,Simple,2025-11-16,1436680
Wedding,638,Delhi,Intermediate,2026-06-23,1065890
Private,898,Mumbai,Simple,2026-12-23,1299793
Destination,994,Delhi,Simple,2024-01-16,1500413
Corporate,556,Pune,Premium,2026-02-20,1023788
Corporate,892,Mumbai,Premium,2025-06-22,1405466
Wedding,574,Pune,Premium,2025-08-07,1029993
Private,993,Pune,Simple,2025-07-03,1330283
Destination,677,Mumbai,Intermediate,2025-12-23,1230110
Private,501,Pune,Premium,2024-10-03,864845
Destination,427,Mumbai,Simple,2025-12-04,898208
Wedding,678,Mumbai,Premium,2025-01-10,1224001
Wedding,898,Mumbai,Intermediate,2025-03-17,1385855
Private,983,Delhi,Simple,2025-05-12,1359598
Wedding,813,Delhi,Premium,2024-06-03,1318991
Destination,742,Mumbai,Intermediate,2025-08-01,1290978
Wedding,980,Mumbai,Intermediate,2024-11-04,1490173
Private,819,Pune,Simple,2025-11-03,1185606
Destination,433,Pune,Premium,2024-03-31,926959
Corporate,679,Pune,Intermediate,2026-04-20,1044690
Destination,868,Delhi,Simple,2026-06-19,1326149
Wedding,980,Mumbai,Premium,2025-11-09,1561939
Wedding,938,Mumbai,Premium,2024-07-31,1506417
Private,633,Delhi,Intermediate,2024-08-19,1018803
Wedding,694,Delhi,Intermediate,2024-08-20,1148180
Destination,321,Pune,Intermediate,2026-10-27,737106
Destination,482,Mumbai,Premium,2026-03-15,1032480
Wedding,475,Mumbai,Intermediate,2025-03-26,923791
Wedding,778,Pune,Simple,2026-06-04,1158102
Destination,189,Delhi,Intermediate,2025-10-22,602049
Wedding,169,Mumbai,Simple,2024-01-09,532954
Private,723,Mumbai,Simple,2024-06-10,1104943
Wedding,707,Pune,Simple,2026-05-31,1085063
Destination,733,Delhi,Simple,2024-12-05,1201903
Private,369,Pune,Premium,2025-05-08,719829
Wedding,698,Mumbai,Intermediate,2026-07-15,1189860
Private,253,Mumbai,Simple,2025-02-17,597274
Private,910,Mumbai,Simple,2024-01-11,1321737
Destination,719,Pune,Premium,2024-11-18,1237412
Private,373,Pune,Premium,2024-07-21,757581
Private,297,Pune,Intermediate,2026-09-16,622507
Wedding,324,Pune,Premium,2025-12-12,798433
Private,121,Mumbai,Simple,2025-06-26,426067
Wedding,366,Mumbai,Intermediate,2024-04-06,802706
Corporate,988,Mumbai,Simple,2025-06-22,1427972
Private,147,Delhi,Intermediate,2025-01-27,468809
Wedding,427,Delhi,Intermediate,2024-06-24,850849
Corporate,101,Pune,Simple,2025-06-20,401525
Destination,816,Mumbai,Premium,2025-03-11,1410444
Corporate,358,Pune,Premium,2025-09-17,760501
Wedding,914,Mumbai,Premium,2026-06-13,1482875
Private,571,Delhi,Premium,2025-06-30,986388
Corporate,303,Mumbai,Intermediate,2025-11-22,711631
Private,661,Delhi,Simple,2026-02-16,1024702
Destination,125,Pune,Premium,2025-05-31,569448
Wedding,652,Mumbai,Intermediate,2024-11-11,1122959
Private,157,Delhi,Intermediate,2024-12-17,480432
Destination,488,Mumbai,Simple,2024-05-26,934544
Destination,474,Pune,Premium,2026-10-02,958686
Private,790,Pune,Premium,2025-10-04,1230089
Private,354,Pune,Simple,2025-12-23,633184
Wedding,837,Mumbai,Simple,2026-03-14,1294847
Private,876,Delhi,Intermediate,2024-12-13,1308269
Destination,237,Delhi,Intermediate,2025-01-04,708317
Wedding,133,Delhi,Premium,2024-01-18,572032
Corporate,595,Delhi,Premium,2024-04-24,1027493
Private,436,Mumbai,Simple,2026-11-07,798562
Destination,734,Delhi,Premium,2026-08-04,1272244
Destination,765,Mumbai,Premium,2025-07-13,1335064
Wedding,212,Pune,Intermediate,2024-02-09,611679
Private,287,Pune,Premium,2026-11-22,661369
Destination,986,Pune,Intermediate,2024-03-17,1471908
Destination,943,Delhi,Simple,2025-01-03,1451052
Wedding,791,Mumbai,Intermediate,2026-02-01,1286159
Wedding,828,Delhi,Premium,2026-07-20,1344683
Private,343,Delhi,Intermediate,2025-03-21,708910
Wedding,468,Pune,Intermediate,2026-09-14,858206
Private,395,Pune,Intermediate,2026-04-25,713631
Wedding,802,Delhi,Simple,2025-10-24,1226433
Corporate,649,Delhi,Intermediate,2025-11-18,1102540
Destination,251,Delhi,Simple,2026-09-26,632424
Destination,499,Delhi,Intermediate,2026-08-13,943224
Destination,984,Mumbai,Premium,2024-11-12,1585485
Destination,708,Mumbai,Premium,2025-06-30,1259022
Private,467,Delhi,Premium,2025-10-26,866542
Private,463,Mumbai,Simple,2024-01-05,828636
Wedding,491,Delhi,Premium,2024-05-22,941393
Private,893,Delhi,Premium,2025-12-10,1385646
Private,559,Mumbai,Simple,2024-12-07,946833
Private,292,Pune,Premium,2025-02-07,680123
Destination,471,Mumbai,Intermediate,2026-02-17,965525
Wedding,386,Delhi,Simple,2026-02-02,774762
Corporate,156,Delhi,Simple,2024-07-01,479758
